,id,full_text,tokens,date,sentiment
284419,1243837964079300608,@pulte Please 🙏🏿 help us provide mask and sanitizers for the streets of Nigeria against Covid19. 🙏🏿,"['please', 'help', 'us', 'provide', 'mask', 'sanitizers', 'streets', 'nigeria', 'covid19']",2020-03-28,0.0
273684,1240401814043996161,"@AlecMacGillis @AngrierWHStaff medical Staff in Oshkosh, WI
Screening people for days even if they have symptoms no testing, they can still go into appts as long as they put a mask on still allowed in for appointments #coronaviruschallenges  #Covid_19   #covid4MDs  #COVID19   #covid4MDs  #CoronaVirusUpdate","['medical', 'staff', 'oshkosh', 'wi', 'screening', 'people', 'days', 'even', 'symptoms', 'testing', 'still', 'go', 'appts', 'long', 'put', 'mask', 'still', 'allowed', 'appointments', 'coronaviruschallenges', 'covid_19', 'covid4mds', 'covid19', 'covid4mds', 'coronavirusupdate']",2020-03-18,-0.025
352306,1249173282823208961,"#CoronavirusPandemic To fight coronavirus, Pasadena to require workers and customers to wear face coverings","['coronaviruspandemic', 'fight', 'coronavirus', 'pasadena', 'require', 'workers', 'customers', 'wear', 'face', 'coverings']",2020-04-12,0.0
47840,1254794002299342850,"The lockdown may be lifted with strict guidelines and measures which includes ;
1. Ban on social gathering and church activities 
2. Compulsory use of face mask
3. Door to Door COVID-19 testing
4. Ban on international flights
5. Limit on inter state travels","['lockdown', 'may', 'lifted', 'strict', 'guidelines', 'measures', 'includes', '1', 'ban', 'social', 'gathering', 'church', 'activities', '2', 'compulsory', 'use', 'face', 'mask', '3', 'door', 'door', 'covid19', 'testing', '4', 'ban', 'international', 'flights', '5', 'limit', 'inter', 'state', 'travels']",2020-04-27,0.016666666666666
158390,1260569139279781891,".
The Far Left (Jared/Ivanka) is pushing: ""testing, testing, testing"".
But the final test result is in:

""Assume everybody is Covid-19 positive and wear a mask.""

Look at NYC!  
Their numbers have dramatically fallen and testing had NOTHING to do with it.

NYC wears Face Masks","['far', 'left', 'jaredivanka', 'pushing', 'testing', 'testing', 'testing', 'final', 'test', 'result', 'assume', 'everybody', 'covid19', 'positive', 'wear', 'mask', 'look', 'nyc', 'numbers', 'dramatically', 'fallen', 'testing', 'nothing', 'nyc', 'wears', 'face', 'masks']",2020-05-13,0.09602272727272701
48659,1254854014417596416,"NJ Math teacher needs to put a mask over her fat mouth. This is reason # 106 why you don't let your children go to Public Schools! 
Her dog looks so embarrassed!","['nj', 'math', 'teacher', 'needs', 'put', 'mask', 'fat', 'mouth', 'reason', '106', 'dont', 'let', 'children', 'go', 'public', 'schools', 'dog', 'looks', 'embarrassed']",2020-04-27,0.0
202610,1262096609090760704,"RT @DineshDSouza: I feel the same way about masks as I do about Muslim women putting on the hijab. If you want to wear one, there’s nothing…","['rt', 'feel', 'way', 'masks', 'muslim', 'women', 'putting', 'hijab', 'want', 'wear', 'one', 'theres', 'nothing']",2020-05-17,0.0
202070,1262093010482978818,"RT @jadisaaartist: because a lot more businesses are opening from tomorrow, please don't slack up! still wear your masks, gloves, wash your…","['rt', 'lot', 'businesses', 'opening', 'tomorrow', 'please', 'dont', 'slack', 'still', 'wear', 'masks', 'gloves', 'wash']",2020-05-17,0.625
18906,1251914940635643906,My uncle passed away from coronavirus. Please please please take this seriously. Stay inside. Only go out for essential needs or if you have to work. Please wear a mask when you do go out. Please don’t hang out with your friends. This isn’t a fucking joke.,"['uncle', 'passed', 'away', 'coronavirus', 'please', 'please', 'please', 'take', 'seriously', 'stay', 'inside', 'go', 'essential', 'needs', 'work', 'please', 'wear', 'mask', 'go', 'please', 'dont', 'hang', 'friends', 'isnt', 'fucking', 'joke']",2020-04-19,-0.23333333333333303
38354,1254100687744622592,BBC News - Coronavirus: Cerne Abbas Giant given face mask makeover,"['bbc', 'news', 'coronavirus', 'cerne', 'abbas', 'giant', 'given', 'face', 'mask', 'makeover']",2020-04-25,0.0
189873,1261926245991952384,"RT @samirsinh189: Taiwan's #coronavirus response is among the best. They have upped #FaceMask production, nationwide testing, retesting tho…","['rt', 'taiwans', 'coronavirus', 'response', 'among', 'best', 'upped', 'facemask', 'production', 'nationwide', 'testing', 'retesting', 'tho']",2020-05-17,1.0
74912,1255910958020485121,Coronavirus UK: The state-of-the-art protective face mask Premier League clubs are in talks to use,"['coronavirus', 'uk', 'stateoftheart', 'protective', 'face', 'mask', 'premier', 'league', 'clubs', 'talks', 'use']",2020-04-30,0.0
11338,1250942847722774529,Designers Show How Everyone Can Make A Simple DIY Cardboard Mask With A Replaceable Filter At Home  via @boredpanda,"['designers', 'show', 'everyone', 'make', 'simple', 'diy', 'cardboard', 'mask', 'replaceable', 'filter', 'home', 'via']",2020-04-17,0.0
9738,1250823070685769733,Here's a lists of Maryland counties and other regions that are requiring residents to wear face masks,"['heres', 'lists', 'maryland', 'counties', 'regions', 'requiring', 'residents', 'wear', 'face', 'masks']",2020-04-16,-0.125
88574,1255134969086611464,"Happy #NationalSuperheroDay! 2020 has proven that not all superheroes wear capes, just masks! Whether you’re a superhero working the frontlines, an essential worker superhero or a social distancing superhero, today is for you! #StopTheSpread #COVID19","['happy', 'nationalsuperheroday', '2020', 'proven', 'superheroes', 'wear', 'capes', 'masks', 'whether', 'youre', 'superhero', 'working', 'frontlines', 'essential', 'worker', 'superhero', 'social', 'distancing', 'superhero', 'today', 'stopthespread', 'covid19']",2020-04-28,0.34722222222222204
362518,1249283828545290242,Please wear your mask properly... #StaySafe,"['please', 'wear', 'mask', 'properly', 'staysafe']",2020-04-12,0.0
294257,1243407176858660864,@sierra_kjrh2 @KJRH2HD Thanks Sierra! #AmericaStrong #BeatCOVID19 #COVID19 tomorrow we start shipping #mask material directly to Americans everywhere.,"['thanks', 'sierra', 'americastrong', 'beatcovid19', 'covid19', 'tomorrow', 'start', 'shipping', 'mask', 'material', 'directly', 'americans', 'everywhere']",2020-03-27,0.17500000000000002
30371,1252409985067134977,Coronavirus-stricken George Stephanopoulos ignores mask mandate in Hamptons -Typical Democrat/Liberal Do as we say and we will do whatever we want.,"['coronavirusstricken', 'george', 'stephanopoulos', 'ignores', 'mask', 'mandate', 'hamptons', 'typical', 'democratliberal', 'say', 'whatever', 'want']",2020-04-21,-0.16666666666666602
3595,1249970770530484225,"Excellent. Please disseminate now and wear a mask in public.
#Masks4All 
#COVID19","['excellent', 'please', 'disseminate', 'wear', 'mask', 'public', 'masks4all', 'covid19']",2020-04-14,0.5
172712,1261294837753679873,"@KevinVesey So everyone w/o mask are immune to the coronavirus.
Children and older adults?..my,my,my..What’s their
secret cure?...other than privileged!🤔","['everyone', 'wo', 'mask', 'immune', 'coronavirus', 'children', 'older', 'adultsmymymywhats', 'secret', 'cureother', 'privileged']",2020-05-15,-0.116666666666666
247153,1233806418253316096,imma wear a coronavirus mask,"['imma', 'wear', 'coronavirus', 'mask']",2020-02-29,0.0
158280,1260563653167845377,Glad to see that almost everyone wears mask.,"['glad', 'see', 'almost', 'everyone', 'wears', 'mask']",2020-05-13,0.5
356242,1248432933745995776,"@nytimes How about starting with basics, use a “real mask” when you have to wear a mask and stop improvising!","['starting', 'basics', 'use', 'real', 'mask', 'wear', 'mask', 'stop', 'improvising']",2020-04-10,0.125
102632,1258354941531480064,"If you are a cop, and you have found a way to convince yourself that the Ahmaud Arbery shooting in Georgia is in ANY way justifiable...turn in your shit and find other employment. If you are simply a human being who thinks it's ok, your next Covid-19 mask should be a plastic bag.","['cop', 'found', 'way', 'convince', 'ahmaud', 'arbery', 'shooting', 'georgia', 'way', 'justifiableturn', 'shit', 'find', 'employment', 'simply', 'human', 'thinks', 'ok', 'next', 'covid19', 'mask', 'plastic', 'bag']",2020-05-07,0.034999999999999004
67255,1256594929733832704,"I wonder where I can purchase a COVID-19 APPROVED  ""Deadpool"" mask and; outfit????","['wonder', 'purchase', 'covid19', 'approved', 'deadpool', 'mask', 'outfit']",2020-05-02,0.0
146132,1260408424086437895,"FFS wear a #facemask! You know it makes sense. 

#fuckoffee #facemasks #covid19  #COVIDIOT #StayAlert","['ffs', 'wear', 'facemask', 'know', 'makes', 'sense', 'fuckoffee', 'facemasks', 'covid19', 'covidiot', 'stayalert']",2020-05-13,0.0
12372,1251397172823838721,"Use of face masks declared mandatory in Balochistan
#ARYNews #COVID19","['use', 'face', 'masks', 'declared', 'mandatory', 'balochistan', 'arynews', 'covid19']",2020-04-18,0.0
99315,1258016054506332166,"a mask protecting other people wearing a mask protects you wearing a mask shows respect ✊ until we have a vaccine I am still wearing a mask! Lunatic Trump does not and never did listen to the scientists or, the medical community about this virus outbreak.","['mask', 'protecting', 'people', 'wearing', 'mask', 'protects', 'wearing', 'mask', 'shows', 'respect', 'vaccine', 'still', 'wearing', 'mask', 'lunatic', 'trump', 'never', 'listen', 'scientists', 'medical', 'community', 'virus', 'outbreak']",2020-05-06,-0.078125
203929,1262105055597133825,RT @unbotheredbliss: people just woke up and decided COVID19 was over. No mask. No social distancing. Just full blown natural selection.,"['rt', 'people', 'woke', 'decided', 'covid19', 'mask', 'social', 'distancing', 'full', 'blown', 'natural', 'selection']",2020-05-17,0.14444444444444401
229567,1228137219799437312,"@nytimesworld 🚨CHOOSE YOUR RIGHT MASK !🚨
#coronavirus","['choose', 'right', 'mask', 'coronavirus']",2020-02-14,0.35714285714285704
374090,1251331232262168586,"In that case a mask can only be use but one time, so in this coronavirus outbreak I think we need a lot of money to buy masks.","['case', 'mask', 'use', 'one', 'time', 'coronavirus', 'outbreak', 'think', 'need', 'lot', 'money', 'buy', 'masks']",2020-04-18,0.0
372463,1251200750023331842,Today's COVID-19 Bulletin at   covers why US death toll jumped significantly yesterday. Also Bay Area health officials are expected to order all residents to wear masks in public starting next week. Plus news from @CitySanLeandro and; @cityofhayward,"['todays', 'covid19', 'bulletin', 'covers', 'us', 'death', 'toll', 'jumped', 'significantly', 'yesterday', 'also', 'bay', 'area', 'health', 'officials', 'expected', 'order', 'residents', 'wear', 'masks', 'public', 'starting', 'next', 'week', 'plus', 'news']",2020-04-17,0.05500000000000001
214298,1222601485193625600,thinking about how people already gave me looks for wearing a face mask at airports pre-coronavirus. i’m not looking to flying in a few weeks lol,"['thinking', 'people', 'already', 'gave', 'looks', 'wearing', 'face', 'mask', 'airports', 'precoronavirus', 'im', 'looking', 'flying', 'weeks', 'lol']",2020-01-29,0.30000000000000004
360909,1248782563545677824,Muslim women who cover their faces find greater acceptance among coronavirus masks – 'Nobody is giving me dirty looks'  via @ConversationUS,"['muslim', 'women', 'cover', 'faces', 'find', 'greater', 'acceptance', 'among', 'coronavirus', 'masks', 'nobody', 'giving', 'dirty', 'looks', 'via']",2020-04-11,-0.049999999999999004
147738,1259768146178777088,So Pence plans on going around without a mask spreading covid-19? Nice guy.,"['pence', 'plans', 'going', 'around', 'without', 'mask', 'spreading', 'covid19', 'nice', 'guy']",2020-05-11,0.6000000000000001
150612,1259894741501726724,Georgia opens up. Covid19 deaths surge. Death is starting to stalk the country roads of the South. Don’t leave home except when necessary! Mask up and maintain social distance. Your life is your responsibility!,"['georgia', 'opens', 'covid19', 'deaths', 'surge', 'death', 'starting', 'stalk', 'country', 'roads', 'south', 'dont', 'leave', 'home', 'except', 'necessary', 'mask', 'maintain', 'social', 'distance', 'life', 'responsibility']",2020-05-11,0.013888888888888002
131161,1258691756440186880,What face masks actually do against coronavirus  via @YouTube,"['face', 'masks', 'actually', 'coronavirus', 'via']",2020-05-08,0.0
195927,1262033500883914752,RT @RebelWithQ: FORGET THE MASKS: Sweden PM Says Face Coverings Offer 'False Sense Of Security' Against COVID-19  vi…,"['rt', 'forget', 'masks', 'sweden', 'pm', 'says', 'face', 'coverings', 'offer', 'false', 'sense', 'security', 'covid19', 'vi']",2020-05-17,-0.4
98996,1258001062381981697,"Coronavirus: ‘I will not wear a mask,’ Urbana state rep says","['coronavirus', 'wear', 'mask', 'urbana', 'state', 'rep', 'says']",2020-05-06,0.0
351579,1249078215504773120,"Some Transit agencies in Oregon, Californian, Pennsylvania and other states are now requiring riders wear masks. Get it done in NYC. ⁦@TWULocal100⁩ #COVID19 #coronavirus   Fine or eject those not covering their faces. ⁦@transportworker⁩","['transit', 'agencies', 'oregon', 'californian', 'pennsylvania', 'states', 'requiring', 'riders', 'wear', 'masks', 'get', 'done', 'nyc', 'covid19', 'coronavirus', 'fine', 'eject', 'covering', 'faces']",2020-04-11,0.145833333333333
310553,1245854330487357440,County officials recommend residents wear face coverings while in public,"['county', 'officials', 'recommend', 'residents', 'wear', 'face', 'coverings', 'public']",2020-04-02,0.0
237885,1232651126308245504,"Coronavirus: Scottish GPs still waiting for face masks
Dr Buist said hospital departments were likely to be well-supplied with equipment such as masks but staff at GP surgeries might well be the first to come into contact with infected patients.","['coronavirus', 'scottish', 'gps', 'still', 'waiting', 'face', 'masks', 'dr', 'buist', 'said', 'hospital', 'departments', 'likely', 'wellsupplied', 'equipment', 'masks', 'staff', 'gp', 'surgeries', 'might', 'well', 'first', 'come', 'contact', 'infected', 'patients']",2020-02-26,0.08333333333333301
266766,1238643650025881600,Senate Democrats Obstruct Bipartisan Legislation to Address Shortage of Respirators and Face Masks During Coronavirus Outbreak  via @gatewaypundit,"['senate', 'democrats', 'obstruct', 'bipartisan', 'legislation', 'address', 'shortage', 'respirators', 'face', 'masks', 'coronavirus', 'outbreak', 'via']",2020-03-14,0.0
16997,1251759025085009921,".@Ferrari and; @Lamborghini lend a helping hand and; more to combat coronavirus pandemic 
Ferrari making thermoplastic respirator valves at Maranello  and;
Lamborghini producing surgical masks and; plexiglass shields at Sant’Agata Bolognese","['lend', 'helping', 'hand', 'combat', 'coronavirus', 'pandemic', 'ferrari', 'making', 'thermoplastic', 'respirator', 'valves', 'maranello', 'lamborghini', 'producing', 'surgical', 'masks', 'plexiglass', 'shields', 'santagata', 'bolognese']",2020-04-19,0.5
239454,1232910982890086400,"About that mask. To protect you from #coronavirus. Not the answer. Neither is avoiding goods from China or covering yourself in sesame oil. Find out what you can do, via @Bhekisisa_MG's @A_AbdoolKarim.","['mask', 'protect', 'coronavirus', 'answer', 'neither', 'avoiding', 'goods', 'china', 'covering', 'sesame', 'oil', 'find', 'via']",2020-02-27,0.0
