,id,full_text,tokens,date,sentiment
178649,1238734753999630339,Via @AlterNet: Social distancing is one thing — but we can’t abandon our communities over coronavirus,"['via', 'social', 'distancing', 'one', 'thing', 'cant', 'abandon', 'communities', 'coronavirus']",2020-03-14,0.033333333333333
31807,1252127792872992769,"Bangladesh funeral attracts 100,000 people, shattering coronavirus social distancing rules | Fox News","['bangladesh', 'funeral', 'attracts', '100000', 'people', 'shattering', 'coronavirus', 'social', 'distancing', 'rules', 'fox', 'news']",2020-04-20,0.033333333333333
119251,1259172177003327488,"UPDATE ON EASING OF EXTREME SOCIAL DISTANCING

#EasingExtremeSocialDistancingBW #StayHomeSaveLives #covid19","['update', 'easing', 'extreme', 'social', 'distancing', 'easingextremesocialdistancingbw', 'stayhomesavelives', 'covid19']",2020-05-09,-0.045833333333333004
207658,1240690537415323649,California woman shares story of dad’s COVID-19 death to emphasize importance of social distance,"['california', 'woman', 'shares', 'story', 'dads', 'covid19', 'death', 'emphasize', 'importance', 'social', 'distance']",2020-03-19,0.033333333333333
105268,1256825195953881090,Social Distancing is the responsibility of all of us to reduce the spread of COVID-19 #AlizzCares,"['social', 'distancing', 'responsibility', 'us', 'reduce', 'spread', 'covid19', 'alizzcares']",2020-05-03,0.033333333333333
364260,1249595912831328256,"#SocialDistancing, #SelfIsolation, #RunningWater and; #Sanitation are luxuries for #IDPs who are particularly #vulnerable to #COVID19 due to #crowded conditions, lack of access to #WaSH facilities and; more. 
 
Quicker action must be taken to protect IDPs from COVID-19. #Ethiopia","['socialdistancing', 'selfisolation', 'runningwater', 'sanitation', 'luxuries', 'idps', 'particularly', 'vulnerable', 'covid19', 'due', 'crowded', 'conditions', 'lack', 'access', 'wash', 'facilities', 'quicker', 'action', 'must', 'taken', 'protect', 'idps', 'covid19', 'ethiopia']",2020-04-13,-0.006249999999999
113578,1257703371705856000,"Jellybeans question of the day- Mommy, how old will I be when Corina Virus goes away and I go outside again? 😭 #Covid19 #SocialDistancing","['jellybeans', 'question', 'day', 'mommy', 'old', 'corina', 'virus', 'goes', 'away', 'go', 'outside', 'covid19', 'socialdistancing']",2020-05-05,0.05
303549,1246700159813246976,"""6 feet means 6 feet!"" Mute Swan Invades #SocialDistancing Space on the Boating Lake of Kearsney Abbey, #Dover, #Kent, UK. More at:  Photo taken 4th April 2020 during #Coronavirus #Lockdown #Bikeride. #AnimalsSocialDistancing #cycling  #birds #waterfowl","['6', 'feet', 'means', '6', 'feet', 'mute', 'swan', 'invades', 'socialdistancing', 'space', 'boating', 'lake', 'kearsney', 'abbey', 'dover', 'kent', 'uk', 'photo', 'taken', '4th', 'april', '2020', 'coronavirus', 'lockdown', 'bikeride', 'animalssocialdistancing', 'cycling', 'birds', 'waterfowl']",2020-04-05,0.5
292811,1245266905608278016,"This new year, stay safe and take care.

#budgetyear #financialyear #fiscalyear #newyear #new #financial #reporting #annualreports #april1st #workfromhome #stayhome #staysafe #coronavirus #remotework #socialdistancing #thisisAICL #theAICLway #teamAICL #lifeatAICL #thisishowwedoit","['new', 'year', 'stay', 'safe', 'take', 'care', 'budgetyear', 'financialyear', 'fiscalyear', 'newyear', 'new', 'financial', 'reporting', 'annualreports', 'april1st', 'workfromhome', 'stayhome', 'staysafe', 'coronavirus', 'remotework', 'socialdistancing', 'thisisaicl', 'theaiclway', 'teamaicl', 'lifeataicl', 'thisishowwedoit']",2020-04-01,0.193181818181818
104670,1257502872578580480,Update World Active Cases #COVID19  04/05/2020 #CoronaUpdates #COVID19Updates #CoronaOutbreak #CoronaVirusUpdates #CoronaPandemic #FightAgainstCorona #FightCOVID19 #FightCoronaTogether #WFH #StayAtHome #SocialDistancing #COVIDー19 #Covid_19 #COVID19indonesia,"['update', 'world', 'active', 'cases', 'covid19', '04052020', 'coronaupdates', 'covid19updates', 'coronaoutbreak', 'coronavirusupdates', 'coronapandemic', 'fightagainstcorona', 'fightcovid19', 'fightcoronatogether', 'wfh', 'stayathome', 'socialdistancing', 'covidー19', 'covid_19', 'covid19indonesia']",2020-05-05,-0.133333333333333
311760,1246155518311370754,"What's the math behind social distancing? Let Jane Heffernan (@yorkuniversity, and one of the esteemed #mathematics experts participating in the Mathematical Modelling of #COVID19 task force) explain  ➡️","['whats', 'math', 'behind', 'social', 'distancing', 'let', 'jane', 'heffernan', 'one', 'esteemed', 'mathematics', 'experts', 'participating', 'mathematical', 'modelling', 'covid19', 'task', 'force', 'explain']",2020-04-03,-0.12222222222222201
170723,1262117002275151872,RT @unbotheredbliss: people just woke up and decided COVID19 was over. No mask. No social distancing. Just full blown natural selection.,"['rt', 'people', 'woke', 'decided', 'covid19', 'mask', 'social', 'distancing', 'full', 'blown', 'natural', 'selection']",2020-05-17,0.14444444444444401
159655,1261913825600835584,RT @MSharifpourMD: For those protesting social distancing (doubt they would read this) - a small group of my friends got together for lunch…,"['rt', 'protesting', 'social', 'distancing', 'doubt', 'would', 'read', 'small', 'group', 'friends', 'got', 'together', 'lunch']",2020-05-17,-0.108333333333333
59514,1253299475164000258,@BDjite @VincentTarzia @penbo Would you be able to manage social distancing in a classroom Bruce? Instead of bandwagoning speak to a teacher about their struggles during this difficult time. Teachers must be immune to COVID-19 hey.,"['would', 'able', 'manage', 'social', 'distancing', 'classroom', 'bruce', 'instead', 'bandwagoning', 'speak', 'teacher', 'struggles', 'difficult', 'time', 'teachers', 'must', 'immune', 'covid19', 'hey']",2020-04-23,0.011111111111111
9232,1250234979487023110,Florida surgeon general removed from Governor DeSantis' coronavirus briefing after saying social distancing necessary until there's a vaccine,"['florida', 'surgeon', 'general', 'removed', 'governor', 'desantis', 'coronavirus', 'briefing', 'saying', 'social', 'distancing', 'necessary', 'theres', 'vaccine']",2020-04-15,0.027777777777777003
22908,1251885651449901056,Coronavirus Social Distance Violators Face $1K Fine: NYC Mayor,"['coronavirus', 'social', 'distance', 'violators', 'face', '1k', 'fine', 'nyc', 'mayor']",2020-04-19,0.225
342703,1249292229690175488,"We also know that through the power of God , through perseverance, through staying at home , through social distancing, through washing our hands regularly, we will also defeat this #coronavirus . Together we will beat this #COVID19Pandemic  .","['also', 'know', 'power', 'god', 'perseverance', 'staying', 'home', 'social', 'distancing', 'washing', 'hands', 'regularly', 'also', 'defeat', 'coronavirus', 'together', 'beat', 'covid19pandemic']",2020-04-12,0.016666666666666
98782,1257180011045416960,"@IPSHemant @BlrCityPolice Will this apply to politicians as well? There's enough evidence all over the news and social media of No Masks, and No Social Distancing. How many offences is too much? #COVID19","['apply', 'politicians', 'well', 'theres', 'enough', 'evidence', 'news', 'social', 'media', 'masks', 'social', 'distancing', 'many', 'offences', 'much', 'covid19']",2020-05-04,0.143333333333333
90087,1255193095525801989,"*Handwashing, social distancing and avoiding large gatherings remain most effective methods of preventing Covid-19

* Covid-19 treatment generally include Rehydration, Administration of medicines for treating fever and Medicines to prevent secondary bacterial infection","['handwashing', 'social', 'distancing', 'avoiding', 'large', 'gatherings', 'remain', 'effective', 'methods', 'preventing', 'covid19', 'covid19', 'treatment', 'generally', 'include', 'rehydration', 'administration', 'medicines', 'treating', 'fever', 'medicines', 'prevent', 'secondary', 'bacterial', 'infection']",2020-04-28,0.182936507936507
