,id,full_text,tokens,date,sentiment
338637,1248670583094677506,"“Until there’s a vaccine, the US either needs economically ruinous levels of social distancing, a digital surveillance state of shocking size and scope, or a mass testing apparatus of even more shocking size and intrusiveness.” Gulp.","['theres', 'vaccine', 'us', 'either', 'needs', 'economically', 'ruinous', 'levels', 'social', 'distancing', 'digital', 'surveillance', 'state', 'shocking', 'size', 'scope', 'mass', 'testing', 'apparatus', 'even', 'shocking', 'size', 'intrusiveness', 'gulp']",2020-04-10,-0.194444444444444
162574,1262002320314949633,"RT @Postsubman: - Social distancing : Wedding guests vamoose after covid-19 taskforce storm the church venue in Calabar, Cross rivers state…","['rt', 'social', 'distancing', 'wedding', 'guests', 'vamoose', 'covid19', 'taskforce', 'storm', 'church', 'venue', 'calabar', 'cross', 'rivers', 'state']",2020-05-17,0.016666666666666
47823,1254352817797640193,"2/2 destroying birds’ nests and failing to maintain social distancing during #Coronavirus pandemic."" @ 

#NHSnotHS2 #StopHS2 #RethinkHS2 #XR #XRebellion #HS2 #HS2Ltd","['22', 'destroying', 'birds', 'nests', 'failing', 'maintain', 'social', 'distancing', 'coronavirus', 'pandemic', 'nhsnoths2', 'stophs2', 'rethinkhs2', 'xr', 'xrebellion', 'hs2', 'hs2ltd']",2020-04-26,-0.08333333333333301
10199,1250660922542047234,"Social distancing to continue to be part of everyday life, @ScottMorrisonMP says. ""I think social distancing, the washing of the hands, the doing of those things, that is what we should do until we find a vaccine,"" he said.","['social', 'distancing', 'continue', 'part', 'everyday', 'life', 'says', 'think', 'social', 'distancing', 'washing', 'hands', 'things', 'find', 'vaccine', 'said']",2020-04-16,-0.044444444444444
95868,1258271762325757953,"To ensure that people maintain social distance, residents of a village in Alappuzha, Kerala, are now practicing same with a monsoon essential – an umbrella.

#SocialDistancing #Coronavirus #ThursdayThoughts #Kerala","['ensure', 'people', 'maintain', 'social', 'distance', 'residents', 'village', 'alappuzha', 'kerala', 'practicing', 'monsoon', 'essential', 'umbrella', 'socialdistancing', 'coronavirus', 'thursdaythoughts', 'kerala']",2020-05-07,0.011111111111111
14855,1250945565048832007,Coronavirus: Social distancing likely to go on long after the lockdown  via ⁦@thetimes⁩,"['coronavirus', 'social', 'distancing', 'likely', 'go', 'long', 'lockdown', 'via']",2020-04-17,-0.005555555555555001
278345,1245081596744654857,Fauci: Social Distancing 'Dampening' Coronavirus Outbreak In U.S.  via @gatewaypundit,"['fauci', 'social', 'distancing', 'dampening', 'coronavirus', 'outbreak', 'us', 'via']",2020-03-31,0.033333333333333
279391,1245138479249526787,"WASHINGTON (NEXSTAR/AP) — The White House on Tuesday projected 100,000 to 240,000 deaths in the U.S. from the coronavirus pandemic if current social distancing guidelines are maintained. President Donald Trump called…","['washington', 'nexstarap', 'white', 'house', 'tuesday', 'projected', '100000', '240000', 'deaths', 'us', 'coronavirus', 'pandemic', 'current', 'social', 'distancing', 'guidelines', 'maintained', 'president', 'donald', 'trump', 'called']",2020-03-31,0.011111111111111
339182,1248703995507589126,America needs to hold Dr. WayWay Off and Dr. Social Distance accountable for this whole failure with the Coronavirus. #DrBirx #DrFauci #COVIDー19 #CoronaHoax #Coronavirus,"['america', 'needs', 'hold', 'dr', 'wayway', 'dr', 'social', 'distance', 'accountable', 'whole', 'failure', 'coronavirus', 'drbirx', 'drfauci', 'covidー19', 'coronahoax', 'coronavirus']",2020-04-10,-0.027777777777777003
73221,1256638876816486401,Tablecloth #theviewfrommybalcony #day37 of #nationallockdown #coronavirus #covid_19 #socialdistancing #selfisolation #selfquarantine #HealTheWorld #staystrong #staywell #unitedbutseparated #flattenthecurve…,"['tablecloth', 'theviewfrommybalcony', 'day37', 'nationallockdown', 'coronavirus', 'covid_19', 'socialdistancing', 'selfisolation', 'selfquarantine', 'healtheworld', 'staystrong', 'staywell', 'unitedbutseparated', 'flattenthecurve']",2020-05-02,0.0
