,id,full_text,tokens,date,sentiment
320482,1247105051275014144,"@ARISEHub A2: Social distancing is key to prevent #COVID19 but without reasonable accommodations it can put at risk the independence, wellbeing and quality of life of persons with #disabilities who rely on services and the daily support of personal assistants. #DisabilityC19 @COREGroupDC","['a2', 'social', 'distancing', 'key', 'prevent', 'covid19', 'without', 'reasonable', 'accommodations', 'put', 'risk', 'independence', 'wellbeing', 'quality', 'life', 'persons', 'disabilities', 'rely', 'services', 'daily', 'support', 'personal', 'assistants', 'disabilityc19']",2020-04-06,0.046666666666666
190492,1239963253624561666,Resources are available during this stressful time of #COVID19. Remember to reach out to those around you by phone/email/text. We can still be together even while #SocialDistancing.,"['resources', 'available', 'stressful', 'time', 'covid19', 'remember', 'reach', 'around', 'phoneemailtext', 'still', 'together', 'even', 'socialdistancing']",2020-03-17,0.4
139955,1260542192226951168,"For Monk's Welcome In Madhya Pradesh, Huge Crowd, No Social Distancing","['monks', 'welcome', 'madhya', 'pradesh', 'huge', 'crowd', 'social', 'distancing']",2020-05-13,0.39444444444444404
270411,1244233432378609665,"Repeat this again and Again and AGAIN and A G A I N
Fight #COVID19 #COVID with
#StayHome
#StayHomeStaySafe
#StayHomeSaveLives
#SocialDistancing
#SocialDistancingWorks 

AND dont be a #COVIDIOT

#SHARE  #LIKE  #RETWEET","['repeat', 'g', 'n', 'fight', 'covid19', 'covid', 'stayhome', 'stayhomestaysafe', 'stayhomesavelives', 'socialdistancing', 'socialdistancingworks', 'dont', 'covidiot', 'share', 'like', 'retweet']",2020-03-29,0.0
227815,1241392030758166530,"Those of you that studied math. 

What does this graph look like its doing?

#Socialdistancing #CoronavirusPandemic #COVID19","['studied', 'math', 'graph', 'look', 'like', 'socialdistancing', 'coronaviruspandemic', 'covid19']",2020-03-21,0.0
14426,1250915760379252736,Michigan Conservatives ‘Not Concerned’ About COVID-19 Block Ambulance During Protest Against Social Distancing  via @thedailybeast,"['michigan', 'conservatives', 'concerned', 'covid19', 'block', 'ambulance', 'protest', 'social', 'distancing', 'via']",2020-04-16,0.033333333333333
233985,1241020230631075841,Connecting with people we care about is helps protect our mental health. Watch this @ottawahealth #haveTHATtalk video for ways to improve your social connections or make new ones:  #COVID19 #coronavirus #SocialDistancing,"['connecting', 'people', 'care', 'helps', 'protect', 'mental', 'health', 'watch', 'havethattalk', 'video', 'ways', 'improve', 'social', 'connections', 'make', 'new', 'ones', 'covid19', 'coronavirus', 'socialdistancing']",2020-03-20,0.023232323232323
152560,1261468395570180097,"#StayAtHome
 practice #SocialDistancing and #SelfIsolation #QuaratineLife #COVID19 #lockdownextension","['stayathome', 'practice', 'socialdistancing', 'selfisolation', 'quaratinelife', 'covid19', 'lockdownextension']",2020-05-16,0.0
75456,1255720045583482880,"@Navimumpolice @DGPMaharashtra @InfoDivKonkan Pls also put How many recovered so that it gives a Positive message and also people will be convinced that  with social distancing, Frequently hand washing with soap, wearing mask and gloves and keeping away from crowd and staying at Home, Covid19 is avoidable.","['pls', 'also', 'put', 'many', 'recovered', 'gives', 'positive', 'message', 'also', 'people', 'convinced', 'social', 'distancing', 'frequently', 'hand', 'washing', 'soap', 'wearing', 'mask', 'gloves', 'keeping', 'away', 'crowd', 'staying', 'home', 'covid19', 'avoidable']",2020-04-30,0.215151515151515
218027,1241985067053993984,"#coronavirus
#COVID19
#StayHome
#socialdistancing
#WashYourHands

""New Zealand set to move to the highest level of COVID-19 alert""","['coronavirus', 'covid19', 'stayhome', 'socialdistancing', 'washyourhands', 'new', 'zealand', 'set', 'move', 'highest', 'level', 'covid19', 'alert']",2020-03-23,0.13636363636363602
245203,1242448562644029440,The vital importance of social distancing #coronavirus #covid19,"['vital', 'importance', 'social', 'distancing', 'coronavirus', 'covid19']",2020-03-24,0.066666666666666
302931,1246655932764839936,"Good to see Covid19 infection numbers coming down and; 'the curve' flattening. But we are walking on a tightrope. We need to stay on the rope for at least until end of April. If we fall off, from morons not following social distancing and; staying home, we will destroy the good work.","['good', 'see', 'covid19', 'infection', 'numbers', 'coming', 'curve', 'flattening', 'walking', 'tightrope', 'need', 'stay', 'rope', 'least', 'end', 'april', 'fall', 'morons', 'following', 'social', 'distancing', 'staying', 'home', 'destroy', 'good', 'work']",2020-04-05,-0.0027777777777770003
328813,1249124669480894464,My dog Leo doesn’t understand that nobody came to his BDay because of social distancing. He thinks he has no friends... Please send him fun pics of his dog friends to cheer him up 🎂#Coronavirus #StayHome,"['dog', 'leo', 'doesnt', 'understand', 'nobody', 'came', 'bday', 'social', 'distancing', 'thinks', 'friends', 'please', 'send', 'fun', 'pics', 'dog', 'friends', 'cheer', 'coronavirus', 'stayhome']",2020-04-11,0.16666666666666602
192770,1240125959027732480,"Yes, by all means, get your news from valued sources rather than social media or former pop stars. But you could do way worse than Michael Stipe @remhq  #SocialDistancing #WashYourHands #CoronaOutbreak","['yes', 'means', 'get', 'news', 'valued', 'sources', 'rather', 'social', 'media', 'former', 'pop', 'stars', 'could', 'way', 'worse', 'michael', 'stipe', 'socialdistancing', 'washyourhands', 'coronaoutbreak']",2020-03-18,-0.12222222222222201
179427,1238853034043748352,Physical distancing and; social solidarity. 😍,"['physical', 'distancing', 'social', 'solidarity']",2020-03-14,0.016666666666666
261069,1243295259079180288,"Ppl need to take this seriously! I have seen all too often ppl blatantly disregarding the social distancing and are often being blatantly defiant, not caring how their actions can affect others-esp those with compromised immune systems. Look at us now!","['ppl', 'need', 'take', 'seriously', 'seen', 'often', 'ppl', 'blatantly', 'disregarding', 'social', 'distancing', 'often', 'blatantly', 'defiant', 'caring', 'actions', 'affect', 'othersesp', 'compromised', 'immune', 'systems', 'look', 'us']",2020-03-26,-0.37708333333333305
57897,1253206228919939072,"""They dropped the ball on this one from the very beginning. But then, [Swedes] are already always social distancing, so maybe it will be fine.""  – a friend in Sweden, Mar 31

Looks like he was wrong... ☹️🇸🇪","['dropped', 'ball', 'one', 'beginning', 'swedes', 'already', 'always', 'social', 'distancing', 'maybe', 'fine', 'friend', 'sweden', 'mar', '31', 'looks', 'like', 'wrong']",2020-04-23,0.037500000000000006
