,id,full_text,tokens,date,sentiment
1250930,1242938008627818496,"3/5

COBRA - Meditation to stop the coronavirus outbreak in Italy - Feb 24th 2020

Full post - 

#coronavirus #covid19 #lockdown #meditation #quarantine #WednesdayWisdom #Qanon #ChineseVirus #ChinaVirus","['35', 'cobra', 'meditation', 'stop', 'coronavirus', 'outbreak', 'italy', 'feb', '24th', '2020', 'full', 'post', 'coronavirus', 'covid19', 'lockdown', 'meditation', 'quarantine', 'wednesdaywisdom', 'qanon', 'chinesevirus', 'chinavirus']",2020-03-25,0.35000000000000003
1011619,1237884065543376900,"@LincolnsRevenge “Jerry, quarantine is just a way of playing hard to get.”
“Georgie-boy, I think Coronavirus is actually pretty easy to get.”","['jerry', 'quarantine', 'way', 'playing', 'hard', 'get', 'georgieboy', 'think', 'coronavirus', 'actually', 'pretty', 'easy', 'get']",2020-03-11,0.130555555555555
65166,1250831659794083841,"The lockdown will be very long if we don't do this.

UK must TEST, TRACE, TRACK and; ISOLATE!

75-80% cases are passed between families.
Lockdowns and; isolation at home on their own are not enough!

Temporary hospitals, hotels converted for Covid-19 patients.","['lockdown', 'long', 'dont', 'uk', 'must', 'test', 'trace', 'track', 'isolate', '7580', 'cases', 'passed', 'families', 'lockdowns', 'isolation', 'home', 'enough', 'temporary', 'hospitals', 'hotels', 'converted', 'covid19', 'patients']",2020-04-16,0.17291666666666602
1120396,1241736316162842625,"@inquestioner SELFLESS SERVICE FOR THE NATION - ARMY TROOPS VACATE THEIR  2000 TO Accomodate and FACILITATE  COVID-19 QUARANTINE SPACES!!
 The Indian Army has set up facilities to isolate/ quarantine at least 4000 people at various locations within the country. JAI HIND JAI HIND KI SENA.","['selfless', 'service', 'nation', 'army', 'troops', 'vacate', '2000', 'accomodate', 'facilitate', 'covid19', 'quarantine', 'spaces', 'indian', 'army', 'set', 'facilities', 'isolate', 'quarantine', 'least', '4000', 'people', 'various', 'locations', 'within', 'country', 'jai', 'hind', 'jai', 'hind', 'ki', 'sena']",2020-03-22,-0.15
971191,1234793527239819266,Coronavirus: China orders travellers quarantined amid outbreak,"['coronavirus', 'china', 'orders', 'travellers', 'quarantined', 'amid', 'outbreak']",2020-03-03,0.0
807767,1261900570098573312,"RT @idesibanda: Due to #Covid19
10+ Bankers died
200+ are Infected
1000+ are Quarantined

Still we are serving to country to make #BankNirb…","['rt', 'due', 'covid19', '10', 'bankers', 'died', '200', 'infected', '1000', 'quarantined', 'still', 'serving', 'country', 'make', 'banknirb']",2020-05-17,-0.125
974417,1234475308419604480,It's a hoax right tRump? A Wuhan evacuee was released from quarantine in Texas and later tested positive for the coronavirus,"['hoax', 'right', 'trump', 'wuhan', 'evacuee', 'released', 'quarantine', 'texas', 'later', 'tested', 'positive', 'coronavirus']",2020-03-02,0.170995670995671
995158,1236680093076008966,"We don’t need no education 🎶🎶🎶

Ingenious kids under coronavirus quarantine manage to 'defeat homework' - World News - Mirror Online","['dont', 'need', 'education', 'ingenious', 'kids', 'coronavirus', 'quarantine', 'manage', 'defeat', 'homework', 'world', 'news', 'mirror', 'online']",2020-03-08,0.5
928527,1227768443979456512,"Quarantine officer on Japan cruise ship tests +ve for coronavirus as cases rise to 175 

-via @inshorts","['quarantine', 'officer', 'japan', 'cruise', 'ship', 'tests', 'coronavirus', 'cases', 'rise', '175', 'via']",2020-02-13,0.0
535040,1256831332119982080,@BorisJohnson this is why you can't loosen the #lockdown don't follow that idiot @realDonaldTrump,"['cant', 'loosen', 'lockdown', 'dont', 'follow', 'idiot']",2020-05-03,-0.8
329245,1253698048049516544,How Argentina’s Strict Covid-19 Lockdown Saved Lives,"['argentinas', 'strict', 'covid19', 'lockdown', 'saved', 'lives']",2020-04-24,0.0
