,id,full_text,tokens,date,sentiment
563829,1257588316645588992,Bangladesh: Rohingya Refugees in Risky Covid-19 Quarantine,"['bangladesh', 'rohingya', 'refugees', 'risky', 'covid19', 'quarantine']",2020-05-05,0.0
530689,1257473413112721408,The urban wild: animals take to the streets amid lockdown – in pictures,"['urban', 'wild', 'animals', 'take', 'streets', 'amid', 'lockdown', 'pictures']",2020-05-05,0.05
210075,1253970574851727360,"#COVID19 Update
In view of queries coming from various sections of society, it is clarified that ALL RESTAURANTS, SALONS and; BARBER SHOPS would remain CLOSED. 
They render services and; the relaxations given under #lockdown restrictions yesterday pertain only to shops selling items.","['covid19', 'update', 'view', 'queries', 'coming', 'various', 'sections', 'society', 'clarified', 'restaurants', 'salons', 'barber', 'shops', 'would', 'remain', 'closed', 'render', 'services', 'relaxations', 'given', 'lockdown', 'restrictions', 'yesterday', 'pertain', 'shops', 'selling', 'items']",2020-04-25,-0.033333333333333
1291975,1243625099187695619,"#DomesticViolence #QuarantineLife
""Domestic violence calls spike during coronavirus stay-at-home orders""","['domesticviolence', 'quarantinelife', 'domestic', 'violence', 'calls', 'spike', 'coronavirus', 'stayathome', 'orders']",2020-03-27,0.0
225395,1254203341200068608,"MUST SEE VIDEO: California Doctors of Immunology Say Only Sick and Elderly Should be Quarantined, Businesses Should Open, and State is Pressuring Drs. to Add COVID-19 Numbers  via @gatewaypundit","['must', 'see', 'video', 'california', 'doctors', 'immunology', 'say', 'sick', 'elderly', 'quarantined', 'businesses', 'open', 'state', 'pressuring', 'drs', 'add', 'covid19', 'numbers', 'via']",2020-04-26,-0.23809523809523803
1587729,1249354083682713600,"There have been 117 confirmed cases of #COVID19 in #Palestine up to this moment, of which 1 person died (0 today). There are  no patients in critical condition. #StayAtHomeAndStaySafe #StayAtHome","['117', 'confirmed', 'cases', 'covid19', 'palestine', 'moment', '1', 'person', 'died', '0', 'today', 'patients', 'critical', 'condition', 'stayathomeandstaysafe', 'stayathome']",2020-04-12,0.2
576901,1257764312032124931,"Very interesting article about the NHS Coronavirus Contact Tracing ap...



#StayHomeSaveLives","['interesting', 'article', 'nhs', 'coronavirus', 'contact', 'tracing', 'ap', 'stayhomesavelives']",2020-05-05,0.65
1358245,1244753798524030979,How is everyone dealing with self isolation? Are you all okay? Sending my love to you 🥺💕 #caronavirus #COVID19 #StayAtHome,"['everyone', 'dealing', 'self', 'isolation', 'okay', 'sending', 'love', 'caronavirus', 'covid19', 'stayathome']",2020-03-30,0.5
235233,1254332718483202053,"Tory grandees tell PM: it’s time to ease the coronavirus lockdown- ‘I’m strongly in favour of getting the country back to work’, say a big Tory donor. Course you are.","['tory', 'grandees', 'tell', 'pm', 'time', 'ease', 'coronavirus', 'lockdown', 'im', 'strongly', 'favour', 'getting', 'country', 'back', 'work', 'say', 'big', 'tory', 'donor', 'course']",2020-04-26,0.14444444444444401
229376,1254274052362928129,"Coalinga Coronavirus Cases, Total Covid 19 Coalinga Count Live, Patients and; Death List, Lockdown News and; Updates #coronavirus, #coronaviruscases, #coronaviruslockdown, #coronavirusoutbreak, #COVIDー19, #COVID19, #COVID2019","['coalinga', 'coronavirus', 'cases', 'total', 'covid', '19', 'coalinga', 'count', 'live', 'patients', 'death', 'list', 'lockdown', 'news', 'updates', 'coronavirus', 'coronaviruscases', 'coronaviruslockdown', 'coronavirusoutbreak', 'covidー19', 'covid19', 'covid2019']",2020-04-26,0.06818181818181801
727267,1260707082849968128,"Wisconsin Supreme Court strikes down Tony Evers' stay-at-home order that closed businesses, schools to limit spread of coronavirus","['wisconsin', 'supreme', 'court', 'strikes', 'tony', 'evers', 'stayathome', 'order', 'closed', 'businesses', 'schools', 'limit', 'spread', 'coronavirus']",2020-05-13,-0.12777777777777702
508593,1257194748827308032,"Investment spending is responsible for Quarantine happens sewing helps mask covid19 shirt . And income all and any of the money being used for all the spending, investment or consumption.  #Quarantinehappenssewinghelpsmaskcovid19shirt","['investment', 'spending', 'responsible', 'quarantine', 'happens', 'sewing', 'helps', 'mask', 'covid19', 'shirt', 'income', 'money', 'used', 'spending', 'investment', 'consumption', 'quarantinehappenssewinghelpsmaskcovid19shirt']",2020-05-04,0.2
