,Date,Smoothed Positive,Smoothed Negative,Smoothed Total,Percentage Positive,Percentage Negative,Average Sentiment,Smoothed Cases,Smoothed New Cases,Cases Ratio,Smoothed Deaths,Smoothed New Deaths,Mobility,Google Trends
0,Jan 27 2020,2.3333333333333335,1.0,3.3333333333333335,0.7000000000000001,0.3,-0.05238095238095236,4890.333333333333,1349.3333333333333,,115.33333333333333,25.666666666666668,99.45085889570552,0
1,Jan 28 2020,3.0,1.25,4.25,0.7058823529411765,0.29411764705882354,-0.04447089947089947,5726.25,1529.0,1.1331521739130435,129.25,28.75,101.35834355828221,0
2,Jan 29 2020,3.6,1.4,5.0,0.72,0.27999999999999997,0.05981481481481482,6566.4,1561.8,1.0214519293655984,146.0,31.4,101.86681260457334,0
3,Jan 30 2020,4.4,1.4,5.8,0.7586206896551725,0.24137931034482757,0.08317460317460316,8388.6,1822.2,1.1667306953515175,181.4,35.4,107.65295315114334,0
4,Jan 31 2020,4.4,1.0,5.4,0.8148148148148149,0.18518518518518517,0.1204861111111111,10630.4,2241.8,1.230271100867084,227.6,46.2,128.09933909648632,0
5,Feb 01 2020,10.6,1.6,12.4,0.8548387096774193,0.12903225806451613,0.182739898989899,13374.6,2744.2,1.2241056294049424,286.2,58.6,128.3422838817624,0
6,Feb 02 2020,11.2,1.4,12.8,0.8749999999999999,0.10937499999999999,0.03333333333333333,16507.4,3132.8,1.1416077545368415,350.4,64.2,95.8400250976018,0
7,Feb 03 2020,11.2,1.4,12.8,0.8749999999999999,0.10937499999999999,0.04358497870692996,20050.6,3543.2,1.1310010214504596,420.6,70.2,101.47300055772448,0
8,Feb 04 2020,11.4,1.4,13.0,0.8769230769230769,0.10769230769230768,0.07514547181213847,23803.4,3752.8,1.0591555655904268,495.6,75.0,102.34672058003348,0
9,Feb 05 2020,11.8,1.6,13.6,0.8676470588235294,0.11764705882352942,0.04895066738816739,27325.0,3521.6,0.9383926668087827,567.0,71.4,101.18916062465141,0
10,Feb 06 2020,4.4,1.0,5.4,0.8148148148148149,0.18518518518518517,0.04732641036212465,30773.4,3448.4,0.979213993639255,643.0,76.0,106.6522671500279,0
11,Feb 07 2020,2.8,0.8,3.6,0.7777777777777777,0.22222222222222224,0.040798611111111105,34025.6,3252.2,0.9431040482542628,725.8,82.8,127.93108198549916,0
12,Feb 08 2020,2.4,0.4,2.8,0.8571428571428572,0.14285714285714288,0.0,37050.6,3025.0,0.9301395978107128,815.6,89.8,129.92308979364194,0
13,Feb 09 2020,2.0,0.4,2.4,0.8333333333333334,0.16666666666666669,0.0,39852.2,2801.6,0.9261487603305785,911.4,95.8,102.82384551031791,0
14,Feb 10 2020,2.0,0.4,2.4,0.8333333333333334,0.16666666666666669,0.04116319444444445,42018.8,2166.6,0.7733438035408338,991.2,79.8,105.05880925822645,0
15,Feb 11 2020,2.2,1.6,3.8,0.5789473684210527,0.4210526315789474,0.04302083333333333,46669.2,4650.4,2.1464045047539924,1104.2,113.0,106.2186558839933,0
16,Feb 12 2020,3.0,2.0,5.0,0.6,0.4,0.058430871212121205,52019.0,5349.8,1.1503956648890419,1227.6,123.4,107.31448689347462,0
17,Feb 13 2020,4.2,5.4,9.8,0.42857142857142855,0.5510204081632653,-0.12390873015873015,57275.4,5256.4,0.9825414034169501,1358.2,130.6,116.26727551589514,0
18,Feb 14 2020,4.0,5.2,9.4,0.425531914893617,0.5531914893617021,0.11078703703703702,62560.2,5284.8,1.0054029373715851,1489.6,131.4,146.57079475738985,0
19,Feb 15 2020,3.8,5.2,9.2,0.41304347826086957,0.5652173913043479,0.04575219671201813,68168.4,5608.2,1.0611943687556766,1639.6,150.0,141.82464584495258,0
20,Feb 16 2020,4.0,4.0,8.2,0.48780487804878053,0.48780487804878053,0.14791666666666667,71122.4,2954.0,0.5267287186619592,1767.0,127.4,112.99643892916899,0
21,Feb 17 2020,3.6,3.8,7.6,0.4736842105263158,0.5,-0.015476190476190496,72871.0,1748.6,0.5919431279620853,1887.0,120.0,117.11912994980479,0
22,Feb 18 2020,2.0,0.8,2.8,0.7142857142857143,0.28571428571428575,0.11166666666666668,74303.2,1432.2,0.8190552441953564,2003.4,116.4,110.81394032348021,0
23,Feb 19 2020,2.4,1.2,3.6,0.6666666666666666,0.3333333333333333,0.0488095238095238,75424.4,1121.2,0.7828515570451055,2099.8,96.4,111.87589514779698,0
24,Feb 20 2020,4.4,1.0,5.4,0.8148148148148149,0.18518518518518517,0.027480158730158723,76490.8,1066.4,0.9511237959329291,2218.0,118.2,116.79218070273285,0
25,Feb 21 2020,6.8,1.2,8.0,0.85,0.15,0.06168530543530543,77256.4,765.6,0.7179294823705926,2310.4,92.4,141.21081985499163,0
26,Feb 22 2020,8.6,1.6,10.2,0.8431372549019608,0.15686274509803924,0.10004649671316339,78034.8,778.4,1.0167189132706373,2411.8,101.4,142.90669827105407,0
27,Feb 23 2020,11.6,1.6,13.2,0.8787878787878788,0.12121212121212123,0.07603138528138528,78871.8,837.0,1.0752826310380268,2504.2,92.4,111.66174567763525,0
28,Feb 24 2020,16.0,2.2,18.2,0.8791208791208791,0.1208791208791209,0.09533807462378889,79778.4,906.6,1.0831541218637992,2608.0,103.8,108.03497211377581,0
29,Feb 25 2020,21.8,4.0,25.8,0.8449612403100776,0.15503875968992248,0.14717124250018984,80605.6,827.2,0.9124200308846239,2679.0,71.0,109.07312325711098,0
30,Feb 26 2020,29.2,6.4,36.2,0.8066298342541436,0.17679558011049723,0.11817448680351905,81632.6,1027.0,1.2415377176015474,2759.6,80.6,110.14999721137758,0
31,Feb 27 2020,32.2,8.2,41.6,0.7740384615384616,0.19711538461538458,0.05411109307359305,82925.8,1293.2,1.2592015579357352,2822.0,62.4,117.09303680981596,0
32,Feb 28 2020,34.8,8.4,44.8,0.7767857142857143,0.18750000000000003,0.06527576057560064,84523.8,1598.0,1.2356944014846891,2879.2,57.2,140.87405465699945,0
33,Feb 29 2020,35.2,9.2,46.0,0.7652173913043478,0.19999999999999998,0.07752688255737035,86321.2,1797.4,1.1247809762202754,2942.0,62.8,140.78012548800893,0
34,Mar 01 2020,39.6,9.4,51.0,0.7764705882352941,0.1843137254901961,0.14916836734693878,88361.4,2040.2,1.135084010237009,3011.2,69.2,110.49760457334077,0
35,Mar 02 2020,47.4,10.0,59.2,0.8006756756756757,0.16891891891891891,0.050219224906724924,90586.0,2224.6,1.0903832957553181,3087.6,76.4,107.8043056330173,1
