,Date,Smoothed Positive,Smoothed Negative,Smoothed Total,Percentage Positive,Percentage Negative,Average Sentiment,Smoothed Cases,Smoothed New Cases,Cases Ratio,Smoothed Deaths,Smoothed New Deaths,Mobility,Google Trends
0,Jan 25 2020,111.66666666666667,75.33333333333333,396.3333333333333,0.2817493692178301,0.1900756938603869,0.03910285894660895,2159.6666666666665,662.0,,60.0,18.666666666666668,126.8904629113218,2
1,Jan 26 2020,272.0,223.0,1008.5,0.2697074863658899,0.2211204759543877,0.08161968895302228,3014.25,1159.25,1.7511329305135952,77.75,26.25,97.05691020635805,2
2,Jan 27 2020,450.6,382.8,1745.0,0.25822349570200576,0.21936962750716332,0.0161061719586028,3644.6,1045.0,0.9014448997196464,88.8,21.4,99.45085889570552,3
3,Jan 28 2020,691.4,605.2,2578.8,0.26810919807662476,0.2346827982007135,0.012673356581288313,5004.6,1360.0,1.3014354066985645,114.6,25.8,101.35834355828221,3
4,Jan 29 2020,1012.2,849.6,3587.2,0.2821699375557538,0.2368421052631579,0.012049815312671115,6566.4,1561.8,1.1483823529411765,146.0,31.4,101.86681260457334,4
5,Jan 30 2020,1189.6,926.2,4010.6,0.2966139729716252,0.23093801426220517,0.00609629098567603,8388.6,1822.2,1.1667306953515175,181.4,35.4,107.65295315114334,6
6,Jan 31 2020,1232.8,913.2,4051.8,0.3042598351350017,0.22538131200947728,0.014967351925622185,10630.4,2241.8,1.230271100867084,227.6,46.2,128.09933909648632,5
7,Feb 01 2020,1184.0,844.6,3741.0,0.3164929163325314,0.22576851109329057,0.049183890832399615,13374.6,2744.2,1.2241056294049424,286.2,58.6,128.3422838817624,4
8,Feb 02 2020,1164.6,767.4,3546.6,0.3283708340382338,0.21637624767382846,0.042518139761706326,16507.4,3132.8,1.1416077545368415,350.4,64.2,95.8400250976018,4
9,Feb 03 2020,1214.0,706.2,3604.2,0.3368292547583375,0.1959380722490428,0.029173762391678706,20050.6,3543.2,1.1310010214504596,420.6,70.2,101.47300055772448,3
10,Feb 04 2020,1261.2,766.0,3768.6,0.3346600859735711,0.20325850448442392,0.0404288773573794,23803.4,3752.8,1.0591555655904268,495.6,75.0,102.34672058003348,4
11,Feb 05 2020,1466.0,835.0,4228.2,0.34671964429307983,0.1974835627453763,0.05429680610148066,27325.0,3521.6,0.9383926668087827,567.0,71.4,101.18916062465141,5
12,Feb 06 2020,1335.2,729.6,3781.8,0.35305938970860434,0.19292400444232904,0.036024801924021375,30773.4,3448.4,0.979213993639255,643.0,76.0,106.6522671500279,4
13,Feb 07 2020,1113.6,584.8,3143.8,0.3542210064253451,0.18601692219606844,0.054439473321245116,34025.6,3252.2,0.9431040482542628,725.8,82.8,127.93108198549916,5
